date,pipe_31,pipe_15,pipe_11,pipe_32,pipe_25,pipe_00,pipe_02,pipe_01,pipe_105,pipe_300
3/26/2017,88.52022315,84.49477352,1096.285216,1198.536744,1559.29993,317.4340391,1381,517.3456446,698.8228477,809.8320557
3/27/2017,90.04117237,73.41073919,1096.997203,1196.291001,1722.848189,317.485,1380.897507,521.1596932,699.3603919,818.0881119
3/28/2017,91.5494429,62.65341702,1097.109331,1194.915942,1720.967967,317.4303797,1380.657792,524.8264808,700.0178453,824.7832168
3/29/2017,93.13718663,51.61382682,1097.94965,1196.516894,1725.804606,317.29809,1380.157588,528.4707521,700.7964427,827.8807531
3/30/2017,94.58449721,40.88075314,1098.020195,1196.781685,1731.957491,317.5019659,1380,532.1995813,701.2055311,830.9085196
3/31/2017,96.45981831,30.96159218,1098.755757,1193.555791,1741.951883,317.9129862,1380,535.9048951,701.9895082,836.0349162
4/1/2017,98.14885777,19.75553914,1099,1192.245677,1764.13649,318.0196721,1380.013898,539.472106,702.216129,838.172486
4/2/2017,99.71587744,8.381184669,1099.001394,1198.540831,1743.220056,318.3554661,1380.590969,543.0926829,703.0098879,828.7519164
4/3/2017,101.5048883,0.783821478,1099.292683,1205.7886,1744.412953,318.9784595,1380.622442,546.7538354,703.8064094,812.3854749
4/4/2017,103.3574913,0.403484321,1100,1211.736655,1740.290884,318.2120805,1379.919722,550.5770035,704.3023552,799.7487788
4/5/2017,105.1733983,2.003489184,1100.30662,1218.145115,1742.279248,316.9580838,1379.189207,554.3261173,705.1003886,793.1080893
4/6/2017,106.912465,2.844055944,1098.672304,1224.075758,1740.661088,314.7617213,1378.965736,558.0968641,706.0116129,790.7161785
4/7/2017,108.5244413,3.926132404,1101.342179,1228.813718,1738.897704,312.8763475,1378.44375,561.6836592,706.8038248,790.4888424
4/8/2017,110.1507327,4.5639413,1102,1233.095481,1741.411724,311.1589147,1378.006382,565.1991643,707.0783439,791.2236934
4/9/2017,111.9086116,5.016270888,1102.037736,1237.128077,1744.320755,309.1021242,1377.598601,569.1979851,707.9869785,790.4020211
4/10/2017,113.8141783,5.454448017,1102.772776,1240.391921,1746,307.4123656,1377.035494,573.8020942,708.4974253,783.9175365
4/11/2017,114.9307359,5.814708003,1103,1241.452518,1743.695559,306.0350657,1377,576.1332853,709.0212121,786.1033984
4/12/2017,116.4689895,5.987421384,1103.269741,1241.65025,1742.99234,304.8888889,1377,579.5620642,709.9244652,790.6606145
4/13/2017,118.0398045,5.60251046,1103.99023,1241.927039,1743.028591,303.5428571,1376.997514,583.1263966,710.3538857,791.1011863
4/14/2017,119.598498,5.001160766,1104.012918,1238.401725,1737.383803,302.0857298,1376.933012,586.641055,711.0199569,792.6967447
4/15/2017,121.2648533,4.217609162,1104.687411,1238.166299,1742.890558,301.1335013,1376.884807,590.3116608,711.9376574,800.1958982
4/16/2017,122.6926829,3.559888579,1105.002092,1239.859386,1744.940153,300.1411837,1376.752669,593.9498258,712.2986858,809.7837649
4/17/2017,124.2124389,2.848145556,1105.12901,1240.349262,1743.518131,298.0352113,1376.286528,597.4570231,713.0044501,816.2916957
4/18/2017,125.6824843,2.262020906,1105.651748,1240.221823,1748.47108,308.549359,1376.007458,600.9267782,713.585597,816.1541144
4/19/2017,127.4794889,1.822461332,1105.999326,1240.000691,1740.089502,310.5098039,1375.998875,604.4887566,714,811.8282695
4/20/2017,128.7787858,1.682730924,1106.001396,1237.152798,1738.299372,310.9974827,1375.88,607.9581882,714.5344722,808.0900838
4/21/2017,130.3777933,1.145438898,1106.162483,1231.44341,1742.482566,311.1039514,1375.456221,611.5139276,715.0317746,806.6585366
4/22/2017,131.7227654,1.004192872,1106.651779,1229.276231,1731.392484,311.2713626,1375.026403,615.1286015,715.9147157,805.1278826
4/23/2017,133.2440725,0.873691556,1106.941382,1227.2223,1731.842032,311.9848024,1375,618.5121781,716.2046303,807.8328691
4/24/2017,134.5704324,0.19804742,1106.964336,1227.424589,1721.976274,312.0036036,1374.95518,621.9123173,716.9900293,804.9623693
4/25/2017,136.091922,0.46615492,1106.998608,1227.785405,1731.535839,312.3986146,1374.698597,625.4526462,717.2453416,804.5571827
4/26/2017,137.4801117,1.569337979,1107,1229.319475,1732.206438,313.0030157,1374.156661,629.0522648,718.0040069,807.2105997
4/27/2017,138.9818942,2.016748081,1106.197388,1229.603858,1751.986769,313.274065,1374.066704,632.5704324,718.4144247,812.2880056
4/28/2017,140.4333566,2.002089136,1107.023677,1232.717467,1749.523001,314.0165094,1374.006395,636.1609756,719.1578947,816.1413649
4/29/2017,141.7799443,2.001391788,1107.166435,1232.425844,1748.762004,314.4292866,1374,639.7112039,719.9976275,821.8983287
4/30/2017,143.3003484,2,1107.366177,1230.062107,1743.062849,315.0026596,1374,643.2947735,720.6594158,830.5181564
5/1/2017,144.6578397,1.991712707,1107.449477,1229.244657,1729.372563,315.0662211,1373.998822,646.847493,721.0985748,840.8440559
5/2/2017,146.3054976,1.628232006,1107.744948,1232.719861,1741.975627,315.4305556,1373.996583,650.4214934,721.9703366,842.111576
5/3/2017,147.7573222,1.251567944,1107.928223,1238.113329,1729.928323,315.9963481,1373.92058,654.1478382,722.3476724,834.9352368
5/4/2017,148.7003367,1.827702703,1107.989831,1236.444444,1729.418919,316.0581818,1373.447684,656.1768707,723.0088028,833.8271186
5/5/2017,150.5761986,1.614922813,1107.938091,1235.205667,1726.328547,316.5378007,1373.058758,661.3552743,723.8496659,837.4616034
5/6/2017,152.315289,1.836630037,1107.969298,1234.9188,1725.609934,293.149392,1373.007817,664.6863173,724.0408277,834.5184917
5/7/2017,157.7544704,1.948682386,1107.923554,1237.773919,1762.016461,317.6229236,1373,668.3551724,724.9564089,829.3606897
5/8/2017,159.463261,1.999301676,1107.969166,1234.455261,1922.768267,318.004911,1373,671.6910739,725.2496999,826.8480836
5/9/2017,161.2074176,2,1107.90784,1230.394811,1356.353909,318.2410557,1372.810227,675.2082474,725.9983041,824.4962251
5/10/2017,162.9572954,2.008547009,1107.964463,1226.301599,1198.985085,318.9923394,1372.324185,678.7315341,726.5023068,826.0724947
5/11/2017,164.8639218,2.211297071,1108,1223.482587,1165.92887,319.3507418,1372.524189,682.3430759,727.155631,827.6713092
5/12/2017,166.5651303,2.922408027,1108,1237.446092,1141.96996,319.886996,1372.037611,685.9197324,727.9895374,831.0354278
5/13/2017,168.1022811,3,1108,1248.681476,1129.832719,319.9988453,1372,689.2630419,728.248,841.6840176
5/14/2017,170.0405503,3.005801305,1107.997826,1291.18693,1151.102824,320,1372,693.0763636,729,850.5160116
5/15/2017,171.5579609,3.634146341,1107.999303,1318.475269,1151.066899,320.0986317,1371.995538,696.3389005,729.5083333,850.4129979
5/16/2017,173.4386332,4,1108,1345.229371,1144.160864,324.6957295,1370.266049,699.8454039,730.0164127,852.2100488
